@relation reviewsExample

@attribute revContent string
@attribute revBug {Y,N}

@data
"AWESOME I love this game, it is so hard to put my iPod down!!! It is basically the only game I play. It's the greatest game ever invented by humans!!!!!!",N
"Boring, Not Fun, Does not give you enough builders I find this game really boring and it takes forever to build anything.  They only give you 2 builders.  I'm surprised at all the reviews and don't understand why this game is highly rated.  Not fun at all",N
"Godly Game is great",N
"Fun This game is great to play with friends",N
"Addictive !!! This game is fun and addictive. You will probably end up buying gems at store.",N
"Omgomgomgomgomgomg This game is great! I've got a lot of people turned onto this game.",N
"Great game One of the best",N
"Fun and Addicting! It is a great game",N
"Great Such a fun game play it all the time. It is a play and leave the game and come back the next day.",N
"Great game Best game I ever played!",N
"Very good This is a very strategic game. I like strategic games I just love the game.",N
"Perfect Well thought out. One of the best games",N
"clash of clans i love this game",N
"Awesome game This game is great.",N
"Awesome Most fun and addicting game I've played on my iPhone in long time!",N
"What the heck Used to work got the update now the game won't stop crashing I can't even play this piece of crap any more fix it now!!!!!!!!!!!!!!",Y
"Great! Pretty addicting to say the least!",N
"Won't open I am a coc fan but ever since this last update it won't work. It loads and then just sits there. Can't wait until it is fixed.",Y
"Great game! On a clan with my kids.. Another thing to connect with..",N
"Addictive Can't stop playing",N
"Pro snowboarder Awesome game",N
"A epic long strategy game !! Awesome Awesome",N
"Yeah, fun. Review done. I'm going back to playing.",N
"Problems Half the time I go to play the game it says that there is an update available and there is not, and it won't let me log on for hours and just repeats the new update message.  Most other times when I log in it acts like I have never played the game and restarts to a new village.  Please fix these problems, I am tired of not being able to play a game I have payed good money for.",Y
"Clash of the clans Great game addicting as well must play",N
"Clash of the clans BEAST my new favorite game",N
"Amazing Great game",N
"Addicting Really great game",N
"Amazing app Dont have to say anything but addicting  \nToo much fun to just play on your spare time.\nJoin my clan Enzos leader is I Lord Bell",N
"Awesome game. Really fun to play. Very addicting.",N
"Good game Awesome",N
"Awesome Greatest game ever!!!!",N
"Great game Provides hours an hours of fun",N
"Entertaining This is a fun game.",N
"Clash of clans really cool, adventures, and interactive game love it ! Hi",N
"My fianc´┐¢ has me hooked.... Love it fun game.",N
"Coc Awesome",N
"Awesome Awesome game, if you love to strategize then this is the game for you!!!",N
"Nice 10 thumbs up",N
"Best game in Appstore This is the best game I've played on the ipad so far. Most games similar to this lack strategy because the battles are text based. Clash is the perfect combination of castle builder and strategic combat.",N
"AMAZING Sooo adicting!!!!",N
"Awesome game Soo addicting can't get enough of it",N
"Awesome! A++",N
"Omg This is fun:)",N
"Best strategy game. Hands down more fun than tossing Birds!",N
"Clash of the clans Five stars so much fun on my ipod touch but you need wifi very adictive i play every day",N
"Fun Easy to play and very fun",N
"Awesome So addicting",N
"Luv it Nothing wrong super fun, something to do all the time, everyone I knows would die to play, good job",N
"Fun. Game is addicting.",N
"Review Awesome game",N
"Fun It's simple to play and fun. Join clan prison planet",N
"Addictive!!! This game is highly addictive but a lot fun. Reminds me so much of Evony! MP is back!!",N
"Dd This is a great game to play",N
"Great game Second only to Lords and Knights",N
"Addicting This game is crack. Best free game ever",N
"My name is david MY NAMES DAVID I LOVE THIS GAME!!!!",N
"Great Game Yourladywantsme is our clan. Join us. Fun game!!",N
"Fantastic Great game",N
"The best Great game",N
"???? WARNING: Highly addictive game!",N
"glitching been sucky lately. hasn't let me play in over a week. update was what messed it up. hope it's fixed soon. wouldn't download it",Y
"Clash of clans Awesome game. Farming and very strategic gameplay.",N
"Great game and lots of fun! ^^",N
"Clash of the clans AWESOMENESS but time consumer",N
"Jgreen OUTSTANDING!!!",N
"Great game! !",N
"Desirable Real fun",N
"Addictive i love this game...",N
"Great fun! It's simple but still keeps you engaged. At later levels the wait times get boring but it seems to have the right amount of focus on actual fighting (vs all the other similar games that get boring with only building).  The fact that units can't be controlled but are specialized makes for novel strategy.",N
"Awesome and addictive Fun to play",N
"Great It's great",N
"Nice Fun game!!",N
"Clash of clans I like this app alot so much",N
"Clash of clans Awesome..!!!",N
"Aweseome Very good game",N
"Awesome Awesomeness",N
"Fix this! Refuses to load on some Wifi networks...fix this already!!",Y
":-) Love this app get it and donate troops plzz",N
"Oxycodone<3 give me all of yours.. Whataboutwhitekids@yahoo Awesome game! And free too! Come get your chops rocked",N
"Clash One of the best game out here!",N
"Amazing I love it",N
"Great gameplay Good game",N
"Very fun A fun game and time consuming.",N
"bad connection took me 10-15 sec to search an enemy. fix this please.",Y
"Hahahaha Best game ever",N
"Glitch The game keeps on freezing when I try to move around my village pliz fix besides thAt I love it",Y
"Fun Cool",N
"Really fun and addicting Reminds me of age of empires. I'm surprised it was free. Great game",N
"Awesome!!!!!! Best app ever!!!!!!!!!!",N
"Very addictive!!! Very fun!!! Great game. Good to pass the time by. Rebuild times could be a Lil less time. And it's so hard to get through the game without having to spend money on gems. The lvl i am at takes so many gems to just complete a upgrade. But still a fun game.",N
"Can't start over I want to start over like in valor or townets because I can't destroy building and restart  my city because I built stuff all over the place",Y
"Stupid Stupid game",N
"Good game Good !!!!",N
"Expensive!!! you get to a point in the game where you have to spend a lot of $$ to progress.  Takes to long to do anything unless you buy gems to speed up the process.  Takes about 30 minutes to attack and then another 20 minutes to find a match that gives you a chance.  Upgrades take 5+days.  Unless you plan on dropping a lot of $$ this game is a waste of time.",N
"Endless Fun Such a great game! Perfect for when I just need a few minutes to escape my day. Or I can play for the entire day fighting battles. Love the clan aspect.",N
"Addicting & Fun! Haven't found a game in a while that's free and worth playing. Super fun & addicting!!!",N
"Awesome the best gamee everr!",N
"Sweet Sweet game. Only thing gems are a little pricey",N
