@relation compendium

@attribute Description String
@attribute Category {Bug,Feature,Support}
@attribute Ann1 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann2 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann3 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann4 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute Ann5 {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}
@attribute MostCommon {Installability,Integrity/Security,Migration,Reliability,Performance,Documentation,Requirements,Usability,Capability}

@data
"Excel drag drop import n't handle cell line breaks empty lines Reported Selvin","Bug","Migration","Capability","Reliability","Capability","Usability","Capability"
"Filenames light grey text choose file dialogues hard read Mac Reported Selvin folder names legible filenames looks dimmed","Bug","Usability","Usability","Usability","Usability","Usability","Usability"
"Freeze trying change node type Reported Selvin happened sequence change type operations maps worked kind slow. Then one froze completely. Force Quit","Bug","Reliability","Capability","Reliability","Reliability","Reliability","Reliability"
"Some movie file formats cause Compendium crash Some movie file formats cause Compendium crash. Andrew writing parts fobs4 library. Has done Windows version present. When platform versions available integrated Compendium new release","Bug","Reliability","Capability","Reliability","Reliability","Reliability","Reliability"
"Orange Green tag highlighting working Mac Reported Simon Buckingham Shum. fine windows Recall shows tags selected nodes common orange box around tag checkbox common green","Bug","Migration","Capability","Reliability","Capability","Usability","Capability"
"Shift+drag movie resizing keep proportions","Feature","Usability","Usability","Requirements","Usability","Usability","Usability"
"Tag indicator appearing insert view search Reported Selvin. examples given nodes labels contained one words identical tag names search","Bug","Usability","Capability","Usability","Capability","Usability","Usability"
"Changing label colour link type colour show new colour Reported Simon Buckingham Shum n't get see new colour click node link remain yellow","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Stencils templates menu need allow xml.zip files well xml Requested Simon Buckingham shum","Feature","Requirements","Requirements","Usability","Requirements","Requirements","Requirements"
"Progress Bar unzipping Movies takes ages","Feature","Performance","Requirements","Performance","Requirements","Requirements","Requirements"
"Grouping tags dragging one tags group group folder Requested Simon Buckingham Shum","Feature","Usability","Requirements","Requirements","Requirements","Requirements","Requirements"
"Web Outline export working new maps When exporting Web Outline new maps created upgrading 2.0 Beta getting following error message nothing exported Exception UIExportDialog.printExport Field 'UserID n't default value","Bug","Migration","Migration","Reliability","Migration","Reliability","Migration"
"Movies pdf website n't launch Linux. First reported Steve Brettell Launching external apps like viewing website link video tricky Linux. Different setups different software different locations. Compendium supposed ask first time launches new file type url selects application open file next time Compendium launch without asking. file compendium dir System resources LaunchApplications.properties tried make guess thought people would installed seeded file various file types path FireFox. Silly really. left blank. Solution LaunchApplications.properties file delete everything totally empty. Then restart Compendium. Now click anything needs open external application like browser get file dialog asking locate application launch url movie etc.. next time file type work. make sure empty file Beta release. Sorry","Bug","Migration","Capability","Migration","Capability","Reliability","Migration"
"Endless hourglass rolling donut Linux Compendium open. Reported Steve Brettell For reason 'rolling donut means something processing Linux rolls program open. never stops","Bug","Usability","Capability","Reliability","Usability","Usability","Usability"
"Running search help system causes endless loop Reported Darko Matovic normal help system try search function help program goes endless loop Windows Ubuntu","Bug","Reliability","Capability","Reliability","Reliability","Reliability","Reliability"
"Scribble Layer zoom map","Bug","Usability","Usability","Usability","Usability","Usability","Usability"
"Toolbar history bar visibility placement always persist across ses Running Compendium 2.0 Beta Ubuntu 10.04 Sun Java JRE JDK toolbar visibility placement always persist across sessions. prefer toolbars top maps one two bottom maps always drag drop toolbars want bottom maps close rest. But 've found Compendium 2.0 Beta settings sometimes intermittently forgotten sessions. 've found move toolbars around Compendium always shut correctly leaving JVM running kill myself. Also matter history bar always shown start new Compendium session","Support","Usability","Usability","Reliability","Usability","Capability","Usability"
"Apostrophe importing Word correctly When exported Web Outline imported Word apostrophes changed apos","Bug","Migration","Capability","Reliability","Capability","Usability","Capability"
"drag drop items cum arrows much like feature allowing drag drow nodes also connections them. would much easier shape map divide several submaps","Feature","Requirements","Usability","Requirements","Requirements","Requirements","Requirements"
"Cursor stays 'thinking Outline View section Disconcerting cursor stay egg timer","Bug","Usability","Usability","Reliability","Usability","Usability","Usability"
"Expanding collapsed main menu work Under Linux Debian main menu expand pressing arrow icon expand collapsed menu. See screen shot attached. example make impossible reach bookmarks menu","Bug","Reliability","Capability","Reliability","Capability","Usability","Reliability"
"export svg software would n't great take map compendium turn stunning visual compendium lot find amazing versatile. think shortcoming looks look little customizeable. wouldnt possible make export svg would open inkscape make super hot. pretty software vue lot people choose software look working tools communication examples pretty http www.michellelabrosseblogs.com content uploads project energy independence1.jpg http beginlinux.com images courses mindmap examplesbrainstorm1.gif http sennhauser.com content gallery miscellaneous mindmappingonflickr.jpg thanks work greetings","Feature","Requirements","Requirements","Migration","Requirements","Requirements","Requirements"
"Error ViewPane.UI.CreateNode.actionPerformed NodeService null View.addMemberNBode Error kills right click context menu keyboard shortcuts node creation. n't really say anything new except rename project. Fix Restart Compendium","Bug","Reliability","Capability","Reliability","Reliability","Reliability","Reliability"
"Automatic decluttering hairball networks tend make pretty complicated networks nodes n't clear cut hierarchical shape. number nodes connections increases find wishing feature would automatically get rid unnecessary link crossings create space disconnected components network arrange nodes radial patterns possible etc. graph easy possible read. There example decluttered graph http www.netflixprize.com community viewtopic.php id=365","Feature","Requirements","Usability","Requirements","Requirements","Requirements","Requirements"
"Metadata tags properties Being able put metadata tags entities database really useful feature. n't know possible via tags anyway would possible create tags associated defined values could viewed Contents Properties window node could good feature someone wants associate node set MGRS coordinates specific dates something like would nice people looking mash Compendium piece GIS software suchlike","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Project problems recovery hope help happily using Compendium 1.5.3 computer rebuilt recovered data reinstalled c.1.5.2. hit problem showed log file unexpected error detected Java Runtime Environment EXCEPTION_ACCESS_VIOLATION 0xc0000005 pc=0x6d895458 pid=648 tid=3044 Java Java HotSpotTM Client 10.0 b23 mixed mode sharing windows x86 Problematic frame jvm.dll+0xd5458 lot info. ended copying \prog files\compendium directory another location deleting reinstalled v.1.5.2. works great. However old project files sitting database\resources subdirectory backup location. anyway recover import somehow Thanks much. Regards Paul","Support","Migration","Migration","Reliability","Installability","Reliability","Migration"
"List converted Map continues List Create List node Then rightbutton change type Map icon changes Map Double click list dialog opens. expecting Map window","Bug","Usability","Capability","Reliability","Capability","Usability","Usability"
"Missing image help Figure Image Size Dialog Nodes References nodes missing","Bug","Usability","Documentation","Usability","Documentation","Usability","Usability"
"Can add stencil remove Tools Open stencil added hats stencil left pane contextual menu. Now How remove return original status Under Manage Stencils Delete button think delete stencil set system. Instead want future n't want see it. possible Thanks mario","Feature","Documentation","Usability","Usability","Capability","Usability","Usability"
"Cut Paste need embedding warning Cut node Map Paste another Map receive warning popup remembers node actually embedding Clone think warning appear Cut Paste node duplication Copy Paste node duplication. Hope helps mario","Feature","Usability","Requirements","Usability","Usability","Usability","Usability"
"Help Inbox goes wrong page Activating Help Item clicking Inbox puts Nodes View help page mention Inbox anywhere. Instead better page Accessibility Group Working. Hope helps mario","Feature","Documentation","Documentation","Documentation","Documentation","Documentation","Documentation"
"Make Export directory location settable Currently Export directory compendium install directory Programs Files. uneasy data make directory location settable already done Linked files. Thanks mario","Feature","Migration","Requirements","Requirements","Requirements","Capability","Requirements"
"Hourglass cursor remains Home view selected Project home view contains Map node. Double click it. map opens view history bar Home View entry appears. Click return initial view. cursor remains hourglass rotating circle Win7 outside view window i.e. toolbars","Bug","Usability","Capability","Reliability","Usability","Usability","Usability"
"Refresh View n't work local MySQL database Refresh View functionality seems deactivated MySQL databases accessed loopback interface. behavior prevents following cases Refresh view remote MySQL database secured SSH easy way Compendium group working internet local MySQL database also accessible remote hosts local MySQL database external programs changing data Compendium viewer external data certain cases might possible circumvent issue accessing MySQL database using LAN WAN IP. But needs complicated dangerous firewall setup. hand seems danger activating Refresh View button whenever MySQL database connected","Bug","Reliability","Capability","Reliability","Usability","Reliability","Reliability"
"Have relative paths entered automatically cross platform support Requested Darko Matovic compendium USB drive running Linux running compendium.sh file Windows running compendium.bat file. Everything works fine make sure paths files drive relative. point file Windows drive letter happens say path \doc\test.dat. change manually doc test.dat assuming Compendium installed root directory drive. way relative paths entered automatically might good feature include","Feature","Usability","Usability","Requirements","Usability","Capability","Usability"
"bad file permissions packaged compendium 2.0 beta1.tar.gz linux almost file permissions set 700 matter file. instance image files .gif .png executable crazy. And also directories readable single also crazy. exceptions 700 permissions two dot files ._.DS_Store .DS_Store. Please clean permissions executable files executable directory file permissions appropriate shared use. Thanks James","Bug","Installability","Integrity/Security","Integrity/Security","Integrity/Security","Integrity/Security","Integrity/Security"
"First Impressions Comments Suggestions General Remarks sure another places topic naive raw first impression much structure much classification imposed system Question Answer Pro Con Argument Decision. nice _you_ think terms nice impose style thinking upon say _me_ others necessarily. And result imposed structure canned icons dominate mind map exclusion idea expressed node. icons large attention grabbing text seems small bothersome next them. And symbols surrounding icons arcane new worse non user. And leads additional shortcoming want mind map _communicate_ another person. want able see ideas arcane structure classification system. developers proud mind mapping system system shadows concepts might want system express. And different nodes data types say list dramatically different thing say paragraph. _concepts_ expressed important emphasize _way_ concepts expressed. tree modeled flat visible rather deep invisible. communication treasure hunt. Maybe learn make sense James","Support","Requirements","Usability","Requirements","Usability","Requirements","Requirements"
"Compendium main window resized Reported Paul Hughes Barlow running Vista Compendium Version beta problem unable resize window makes impossible drag drop files folders. Paul strange. sure heard issue before. What actually happens click Window expand contract button top right hand corner Can drag corner Window Possible test compendium dir System resources file called Format.properties. open text editor see lots saved properties. Two remember last window size Compendium restore Compendium window size next time. lastScreenWidth= lastScreenHeight= prevent resizing restores stuff way it. thought however could try changing sizes something small start Compendium see happens. Michelle","Bug","Usability","Capability","Usability","Usability","Usability","Usability"
"icons displayed Occasionally After zooming iconsquestion mark plus minus shown more. Everthing okay restart Compendium","Bug","Usability","Capability","Usability","Capability","Usability","Usability"
"detail popups exlcluded web maps export web maps When opt exclude detail popus contain node label anchor details excluded altogether. Mouse possible. Pop","Bug","Usability","Capability","Usability","Capability","Usability","Usability"
"thickness links change Sometimes able change thickness links. Restarting Compendium helps whenever happens","Bug","Usability","Capability","Usability","Capability","Capability","Capability"
"lost link groups New link groups create occasionally get lost. still appropriate folder. But displayed tools manage link groups. When group lost never display again. tried open files notepad made sure format right UTF8 opened linkgroup xml files Notepad used Save changed encoding UTF8 saved fixed it. One time fixed it. Another time not. Michelle mail conversation without resolution","Bug","Usability","Capability","Usability","Capability","Usability","Usability"
"Ref. node manual pasting url ref field Copy pasting URL Ref. field Reference node. would useful changing node ref node","Feature","Usability","Usability","Requirements","Usability","Usability","Usability"
"Restore Project MySQL Fails using Compendium multiple platforms 've keeping sync backing database running MySQL platforms using Restore overwrite old database different installations. Since upgrading 2.1b 've following problem Restore seems work without errors. However try open restored database get message Due software changes project data structure needs updating continue. n't case select Yes anyway. Then get error Your database structure unable updated. When delete project manually MySQL since delete currently n't work Restore New project opens fine. working database converted 1.5. Perhaps relic left updated database confusing Restore Michelle 'll email SQL file","Support","Migration","Migration","Reliability","Migration","Migration","Migration"
"Can open project started working Compendium. able create map warnings errors. But restart Compendium try open n't open. get dialog list projects choose one want enter password hit nothing happens. Dialog goes away errors warnings console empty clean main canvas stays clean menus stay disabled except file new open others. Tried open File Open work exactly result","Support","Reliability","Capability","Installability","Reliability","Reliability","Reliability"
"File Path length reference node limited characters Ref field Reference Node content tab select file directory file path lengh exceeds characters. Then double click reference node popup displayed stating Windows n't fine file","Bug","Reliability","Capability","Requirements","Capability","Usability","Capability"
"Saving projects run Pcs bit new Compendium want save file project colleague work different PC. tried Project backup freezes. Can anyone help also wanting post finished map web page struggling get work either Can anyone help Richard Rymill","Support","Migration","Documentation","Migration","Reliability","Reliability","Migration"
"n't delete nodes maps Aerial View non responsive hourglass n't n't know whether issues related Aerial View shows nodes invisible Home Window. When move node map one view n't show change view. n't delete node map view Aerial Home outline view view. When try delete node map hourglass comes stays close program","Bug","Usability","Capability","Reliability","Capability","Reliability","Capability"
"Slow performance startup notebook 4gb ram T7250 processor starting time minute seconds","Bug","Performance","Performance","Performance","Performance","Performance","Performance"
"Compendium Launch Created attachment id=435 details error message starting compendium windows bit n't find javaw problem updated compendium.bat file shown issue 828. looks like echo start \Program Files x86\Java\jre6\bin\javaw.exe Xmx512m classpath System\lib\compendiumcore.jar System\lib\compendium.jar System\lib\AppleJavaExtensions.jar System\lib\jhall.jar System\lib\kunststoff.jar System\lib\jabberbeans.jar System\lib\mysql connector java 5.1.6 bin.jar System\lib\derby.jar System\lib\triplestore.jar System\lib\xml.jar System\lib\jmf.jar System\lib\ffmpegjava.jar System\lib\crew.jar com.compendium.ProjectCompendium pause When try run get error shown attachment. clearly n't know stuff Can help Thanks","Support","Installability","Installability","Reliability","Installability","Installability","Installability"
"open Map window n't show Window menu list thinking might map name starts quotation mark thought crazy checked indeed n't show up. See screenshot map named Top level concepts partially covered window menu","Bug","Reliability","Capability","Reliability","Reliability","Usability","Reliability"
"Error message opening Note node Created attachment id=437 details image error message attached error message appears open note nodes created today number maps","Support","Reliability","Capability","Reliability","Reliability","Reliability","Reliability"
"information request Compendium 1.5.2 Ar??elik Ko?? Group company founded 1955. Today Ar??elik Company sixth largest household appliances manufacturer world third largest one Europe. With 18.000 employees production plants different countries namely Romania Russia China Turkey sales marketing companies worldwide Ar??elik Company providing consumers 100 countries ten brands Ar??elik Beko Blomberg Grundig Elektra Bregenz Arctic Altus Leisure Flavel Arstil. want purchase knowledge software. want build knowledge maps based Process Mapping. First would construct workflow diagrams. Each activity diagram contain knowledge node. node knowledge profile including required information. knowledge code title project subproject name WBS code knowledge field mechanic metallurgy electronic knowledge type frame tacit implicit technical report book key words needs creation date refining date importance according application access level general low access high access creator name knowledge man general creator. Does software fulfills features software used approximately 175 employees Research Development Center Ar??elik. Only people administrator license others able view information make advance search. They n't create change maps. Could please send promotional brochure software order understand whether requirements fulfilled not. also need detailed price list software support. according type license number users etc. Could also answer questions following ??? Does program Cycle Time Data Capturing Hyperlinking maps spell checker text flowchart conversion features ??? want business process charts Anytime change name one components knowledge profile producer knowledge etc. components name change. option preference. Also search person want software allow making search knowledge maps. advance search option among maps created kind knowledge knowledge profiles search among one map that???s currently open ??? Does program web based internal server Could inform companies software creating knowledge maps Thanks lot. Kind Regards nar ??a lar Innovation System Development Department Engineer web address Ar??elik http www.arcelikas.com.tr Cultures Language=en","Support","Documentation","Installability","Documentation","Documentation","Documentation","Documentation"
"Node Format Toolbar reappear checked Open View Toolbars uncheck Node Format Toolbar. Toolbar hidden. Repeat time check Toolbar. reappear. However clicking Reset Toolbars Default Toolbar reappears","Bug","Usability","Capability","Usability","Capability","Capability","Capability"
"map node inside deleting cutting map node closes reverts zoom back 100 n't 100 i.e Map node inside Map delete Map node Map Map window closes zoom reverts 100 next time back. Neither terrible n't reason auto close right","Bug","Usability","Usability","Reliability","Usability","Usability","Usability"
"Moving projects one session get null error When close project second project session second project open work fine. However close second project try back first project first project open hang null error try perform action node first project. currently three total projects set compendium one passcode","Bug","Reliability","Capability","Reliability","Reliability","Reliability","Reliability"
"Copy paste one project another compendium instance passcode projects Compendium. copy paste projects. huge problem projects getting large need able copy paste completed work projects. Windows XP. Derby dbase latest Java. Error code Error ViewpanelUI.CreatedNodeAction.actionPerformed INSERT table 'VIEWNODE caused violation foreign key constraint 'FK VIEWNODE key 1921681116127812075702. statement rolled back","Support","Reliability","Usability","Usability","Reliability","Reliability","Reliability"
"Zoom auto changes 100 result clicking Focus Node pas noticed happening reproduced scenario. View zoom. click embed indicator node follow one links node View copy another node View click Back button back View paste node View screen click Focus Node. zoom changes 100 Not terrible thing n't reason change zoom level. fact since hunt node anyway better stays make easier see view pasted node ended up. thanks","Bug","Usability","Usability","Requirements","Usability","Usability","Usability"
"Clicking Zoom view Fit Page goes right 100 Should n't zoom one level whatever next higher zoom level would thanks","Bug","Usability","Usability","Usability","Usability","Usability","Usability"
"Shortcuts preserve Details content Label fair Shortcuts tags Details text","Feature","Usability","Usability","Requirements","Usability","Usability","Usability"
"Wrong website linked Quick Start. downloaded Compendium run Quick Start Video local try Quick Start Video website Compendium Institute Website takes http www.compendiuminstitute.org training videos seems dead site. Where find follow videos Quick Start Cheers Alastair","Bug","Documentation","Documentation","Reliability","Documentation","Documentation","Documentation"
"error submitting survey spent minutes submit feedback get error message frustrating text Dear reader started look Compendium methodology tool. first impressions rather esoteric context within community works. feel barrier join development looks like something knowledge worker n't without. world direly needs powerful tools harness ever increasing flood detailed often pieces puzzle like knowledge. view people working Compendium seem exploring right direction Somehow feels like methodology tool steep learning curve. would gradual learning curve newbie master people would start adopting endorsing project personally feel needed well structured tutorials starting absolute newbie Compendium master. From side would appreciate human contact see contributions could helpful feeling mutual martinjzu gmail.com call Netherlands 0413248833 Kind regards happy healthy 2011 Martin van Zanten","Support","Documentation","Usability","Documentation","Documentation","Documentation","Documentation"
"Web outline export translates apostrophes apos appear text example HCI apos deal surprise unancticipated cultural differences Trad apos HCI radical enough meet challenges transformative sustainable DiSalvo Insufficient understanding technologes actually get used made specific contexts Trad apos HCI insufficiently informed apos values apos ethical enough Friedman","Bug","Migration","Capability","Usability","Capability","Usability","Capability"
"feature requests absolute newbie mentor skill level feedback Very curious Compendium registered downloaded 2.0b1 version MacBook weeks ago. After hours practice still would like learn newbie feel like dropped New York child eight years old without map guide. hope understand analogy looks like powerful tool feel lost possibilities. first contribution community file three feature requests one description mentor something really human human contact. would much appreciate would one person Compendium community would act mentor. Let call newbie handholding. could help save hours searching trying things. strongly believe age old system individual education apprentice craftswoman student guru. Once know way around could become contribution community mentor new people skill level would great could set skill level preferences example five levels absolute newbie newbie basic normal expert Depending level would fitting menu items help available feedback would great would feedback menu item button within help next help. Choosing feedback would stay within Compendium environment offer simple form enter reports. reports would archived within information space communication would come Compendium Inbox. hope receive story positive criticism useful sparking great ideas evolution method software Please feel free contact could n't make clear explain detail. And would great help someone would volunteer give absolute newbie kick start Kind regards Martin van Zanten martinjzu gmail.com","Feature","Requirements","Documentation","Documentation","Requirements","Requirements","Requirements"
"Option Automatic Weighting Manual Voting would helpful large group decision making way Compendium either automatically weight nodes number nodes associated within manually allow voting included node details dialogue participants could demonstrate selection multiple options","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Drag image create node Dragging image website document create new node graphic dragged becomingly presenting image node. Similarly system clipboard holding image right click option existing node could make image become image node right click open white space could option pasting image creating new node image showing","Feature","Usability","Usability","Requirements","Requirements","Requirements","Requirements"
"Software seems seek something try import xml file whic","Bug","Migration","Capability","Reliability","Capability","Capability","Capability"
"Search Google data compromise easy start Search Google function accident. would send node title might contain sensitive information internet. easiest solution would option deactivate search. But would even useful users could specify custom command run","Bug","Usability","Capability","Usability","Usability","Usability","Usability"
"Open project results exception Heyho bug affects versions Compendium beta releases. issue open existing project via Open CTRL dialog results database exception. simple solve it. routine DBAdminDatabase :getSchemaStatusForDatabaseString sProject tries open connection using sProject string wrong open connection associated DB. Just insert String dbname getDatabaseNamesProject routine apply dbname requestConnection releaseConnection. Everything works fine Greez Holger","Bug","Reliability","Capability","Reliability","Reliability","Reliability","Reliability"
"style palette style difficult manage Compendium. certainly absent minded momentary triviality create consistent style deviates significantly default within map maps nodes links backgrounds text etc. think qualitative experience using Compendium could improved hugely merely improving fluency style management. suggest using style palettes. palette mean compendium element style list styles available selection. Each compendium element style list. style list default new compendium elements created default style. default changed. list added selection compendium element copying style list new style nameable. eg. select compendium item click menu strip button click add style list list items renamed deleted. suppose compendium elements node link mapopen. Maybe node type could style palette. eg. link style able set qualities link including text save name link style palette. also able select one number links click style button apply style onto elements. similarly nodes maps. limb rather style palette defaults global might useful map set element style defaults make easier map maintain style. also map collection element style defaults new map created within map could inherit set defaults. reiterate think qualitative experience using Compendium could improved hugely merely improving fluency style","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"size minimised map window sure category belongs Aerial View goes minimized map window far small. There sufficient amount room reasonable amount map label made out. There reason name map truncated degree. request map window minimised size allow significant amount map label displayed. maybe max settable options think able see least chars map label","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"web link page title ref node label would convenient dragging web link browser map web page title copied compendium node label","Feature","Usability","Usability","Usability","Usability","Usability","Usability"
"Same 'Javaw issue running Win7 latest install Java 6.23 tried installing somewhere x86 Compendium STILL want work claiming n't find 'Javaw'. n't want kill messing .bat files REALLY n't know them. Please advice loved first build Compendium worked fine WinVista","Support","Installability","Installability","Installability","Installability","Installability","Installability"
"map windows claustrophobic movement solution problem ======== often find need refer one window active another. And means spontaneously moving maps way drilling map. Unfortunately easy create space Compendium background new windows. Windows n't boundaries moved beyond background boundary. means lot window activity response something conceptually simple. Also mysql projects accessed across different pcs different screen dimensions means map opened one screen may large another screen despite designed eventuality. means fiddly window required pull map boundary beyond edge background boundary. feature request ================ solution could allow window designed moved boundaries beyond background boundary. would make moving windows way find previously covered relevant map simple act rather fiddly one. But could create additional problem map moved near edge background one screen could beyond edge visible another smaller screen feature request ================ suggest window menu option gather open maps top left background. feature request ================ compendium opening map auto detects position relative background moves top left beyond bounds background. hope n't explained confusing manner. What 've written seems complicated thought would straightforward idea","Feature","Requirements","Usability","Requirements","Requirements","Requirements","Requirements"
"Export Web Maps referenced files exported When web map export referecend files exported. Yes activated export linked files. bug occurs leave files original place desktop put Linked files directory. Everything works fine manually create folder references drop files","Bug","Reliability","Capability","Migration","Capability","Capability","Capability"
"exception opening map returning previous project brief description return previously opened project try open map get exception. clicking get blank white window window map content. title blank window correctly displays map name. content Message window window title error window content exception ProjectCompendiumFrame.addViewToDesktop Can initialize View null simplest sequence events trigger error open compendium opens root dbase close root database open database map windows open close database open root database click open map alert error message 6.1. error message map window opens blank. generally *seems* case everything works previous project returned to. Sometimes first level map opens error occurs second deeper level. n't seem pin exact rule. Obviously work around simple need back previous project restart compendium. huge hassle compendium quick close start hope one suffering problem sound cruel checked around error reports could n't find particular error reported. projects referring compendium dbase ones","Bug","Reliability","Capability","Reliability","Reliability","Reliability","Reliability"
"Shortcut nodes different views issues possible solution included Test case simulate uninitialized node issue create new map name example upper level map create new map inside upper level map name test map create shortcut test map inside upper level map using context menu cut shortcut using context menu top level map create new map name todo map inside todo map paste shortcut close compendium start compendium first step todo map 10. double click shortcut icon 11. get following exception. Please note aware compendium software architecture. Before implementing code changes post impact analysis take place","Bug","Reliability","Capability","Reliability","Reliability","Reliability","Reliability"
"n't install Java n't run Hi. installed beta java date administrative authority machine. Here error notice got Unable execute file \users\coco\appdata\local\temp\is T9LE6.tmp\jre 1_5_0_13 windows i586 p.exe CreateProcess failed code 740 requested operation requires elevation. Help Thanks much","Support","Installability","Installability","Installability","Installability","Installability","Installability"
"Mark seen working importing xml After importing zip file containing xml map Compendiums marks nodes seen. happens regardless whether choose mark seen importing process. mark seen unseen using right click drop menue. choice appearas grey available. But activate function F12 using unread view i.e. opening field left side screen. using new bug fix http www.kmi.open.ac.uk people bachler Downloads compendium 2.0beta1 NE.zip Thanks attention. Ralf","Support","Migration","Capability","Reliability","Capability","Capability","Capability"
"Nodes open About attempts open node nothing. try works. There difference opening doubleclick clicking lower right number another node using Open button search. Compendium MySQL database Ubuntu 10.10. problem started switching 1.5.2 2.0 Beta seems occurs open several maps Compendium current session","Bug","Reliability","Migration","Reliability","Reliability","Reliability","Reliability"
"Does find part search string label part detail Lets search two words Look Label Detail Match listed. expected behavior nodes found contain words anywhere label detail text. reality nodes found contain words grouped together label detail. Ubuntu 10.10 MySQL database","Bug","Usability","Capability","Reliability","Capability","Usability","Usability"
"Drag dropped files get wrong path Linux drag drop file name file ?,?.txt space end file manager map choose link original. dnd Nautilus reference node gets path file home example 2520file 2520with 2520an 2520 25E2 2582 25AC.txt name 20file 20with 20an AC.txt From Konqueror file home net 20file 20with 20an 20?,?.txt file ?,?.txt Dnd Thunar nothing. double click reference nodes opens properties window. There error message issue 767. There log entries. problem MySQL Derby database. Ubuntu 10.10 Java sun","Bug","Migration","Capability","Reliability","Reliability","Reliability","Reliability"
"Node time spans gone restart MySQL database created movie map nodes gave time spans order make appear disappear. Everything worked expected. When started Compendium next time movie map movie time span still time spans nodes. There log entries. Ubuntu 10.10 used MySQL 5.1 database new project. verified everything allright Derby database","Bug","Reliability","Capability","Reliability","Reliability","Reliability","Reliability"
"Timeline view applications particularly concerned historical research think would quite useful able construct view nodes displayed timeline automatically laid according date time span dates associated node. order participate timeline view node would probably need manually dated modification date node probably meaningful context. Here example envision working. Suppose investigating historical development idea example concept canon scripture Judaism Christianity. course research accumulate various quotations relevant ancient modern writers stuff Reference nodes tag dates indicating best guess year quotation written. quotations probably supporting facts argument structure one map views also want see relate one another chronologically copy paste timeline view. Then provide additional context create additional nodes directly timeline view representing dates various events Council Trent lifespans relevant figures life Eusebius. way construct visual chronology topic investigating node timeline hyperlinked references related events argumentation related event. One issue keep mind dates ancient events generally imprecise sometimes disputed. Thus date particular event happened composition document known Gospel according Mark could subject one Questions argumentation different authors proposing different dates arguing proposals might make Decision regarding issue. opinion timeline view able indicate spans time drawing event rectangle rather single point time well uncertainty debate regarding date span drawing uncertain time span fade fully opaque fully transparent. timeline view might even useful instead manually copy paste nodes timeline view instead link timeline view one map list views anything one views associated date automatically plotted timeline. would make harder things get sync various views since need worry dating various nodes also copy pasting them. One additional enhancement could make _impossible_ things get sync could set constraint map list view says everything required date Compendium could help complaining hey need give node date alternately nodes linked views n't dates could drawn date unknown region timeline would way visually notifying forgotten date something","Feature","Requirements","Requirements","Requirements","Requirements","Requirements","Requirements"
"Ability search plugins Sherlock OpenSearch References would like able define interfaces various web search engines store search using one Reference node. Here imagine working. Somewhere menus probably Tools item opens search manager specify URLs query string formats interacting various sites Internet. might consider using one existing web standards defining search engine interactions OpenSearch Sherlock let download pre defined search plugins web. http mycroft.mozdev.org claims 23,000 search plugins various browsers would nice Compendium could download rather requiring describe search protocol myself. Bonus points Compendium automatically checks updates plugins every often Anyway however search plugins get created registered Compendium like able create Reference nodes instead requiring input URL. think could done migrating current Reference specific fields Reference tab alongside Contents Properties Views. tab first element would drop box lets choose URL order get current Reference behavior currently registered search plugins. rest tab would change based variable fields specific selected search plugin. example Bugzilla search lets specify keywords bug status bug opened would text fields drop downs appropriate created based definition search plugin. Bonus points search plugin icon displayed Reference node icon. Also think reworked Reference way could also extend handle internal reference nodes elegantly select Internal reference type drop could change kind graphical selector allows choose node one maps right dialog box. would instead cryptic comp URL currently allow edit warn touch help files. Probably also related 974. Also would super cool really efficient way create Reference nodes using certain search engines. For example search plugin targets http www.biblegateway.com like able hot key insert Reference using plugin type search text node label John 3:16 primary search field auto populated value without ever open contents dialog box","Support","Requirements","Usability","Requirements","Requirements","Requirements","Requirements"
"Change Auto Label Searching preference agree email could n't find either without looking help. reason View menu expand see folks Returning Compendium months away 've downloaded 2.0 Beta OSX 10.6.8 find autocomplete transclusion n't appear behaving remember 1.5.2 automatic suggestions whilst entering node names. Has default behaviour new nodes changed allow duplicates need set preference somewhere enable autocompletion suggestions memory failing remember things incorrectly different app Best Keith..","Feature","Requirements","Migration","Usability","Migration","Migration","Migration"
"Links open browser click email address Compendium standard email program starting. click URL menue main screen get error message translation When playing command application error occurred. problem Freemind Application. using Java update","Bug","Usability","Capability","Reliability","Reliability","Reliability","Reliability"
"Installed open boot install seemed smoothly upon opening application met pop says local derby administration database unable opened created??? failed create database compendium see next exception details. Please contact compendium support staff. running 10.7 logged administrator. Any suggestions Thank help","Support","Installability","Installability","Installability","Installability","Installability","Installability"
